Dates,Santa Barbara County
1/31/2000,302862
2/29/2000,303733
3/31/2000,305414
4/30/2000,307340
5/31/2000,309539
6/30/2000,311674
7/31/2000,314906
8/31/2000,318613
9/30/2000,322325
10/31/2000,326272
11/30/2000,330392
12/31/2000,335195
1/31/2001,339016
2/28/2001,342651
3/31/2001,346019
4/30/2001,351283
5/31/2001,357093
6/30/2001,363133
7/31/2001,368870
8/31/2001,375300
9/30/2001,381836
10/31/2001,388341
11/30/2001,392996
12/31/2001,398379
1/31/2002,402792
2/28/2002,407444
3/31/2002,410992
4/30/2002,415409
5/31/2002,419945
6/30/2002,424718
7/31/2002,428993
8/31/2002,434126
9/30/2002,440095
10/31/2002,447215
11/30/2002,455109
12/31/2002,462297
1/31/2003,469592
2/28/2003,476250
3/31/2003,483934
4/30/2003,491890
5/31/2003,500898
6/30/2003,509368
7/31/2003,517503
8/31/2003,525082
9/30/2003,533129
10/31/2003,540165
11/30/2003,545492
12/31/2003,549362
1/31/2004,555343
2/29/2004,563188
3/31/2004,570780
4/30/2004,577872
5/31/2004,584504
6/30/2004,593086
7/31/2004,602604
8/31/2004,612904
9/30/2004,624745
10/31/2004,639139
11/30/2004,654049
12/31/2004,666688
1/31/2005,672362
2/28/2005,680011
3/31/2005,689028
4/30/2005,703408
5/31/2005,715430
6/30/2005,727676
7/31/2005,735283
8/31/2005,743164
9/30/2005,749211
10/31/2005,756657
11/30/2005,762810
12/31/2005,768604
1/31/2006,773053
2/28/2006,777626
3/31/2006,782476
4/30/2006,785051
5/31/2006,785897
6/30/2006,785594
7/31/2006,785172
8/31/2006,780792
9/30/2006,771498
10/31/2006,756857
11/30/2006,744085
12/31/2006,734895
1/31/2007,731328
2/28/2007,729602
3/31/2007,726960
4/30/2007,725153
5/31/2007,717616
6/30/2007,709149
7/31/2007,699653
8/31/2007,694595
9/30/2007,683943
10/31/2007,676246
11/30/2007,668966
12/31/2007,662152
1/31/2008,646620
2/29/2008,629604
3/31/2008,615548
4/30/2008,605784
5/31/2008,594135
6/30/2008,583142
7/31/2008,573637
8/31/2008,561459
9/30/2008,550892
10/31/2008,537650
11/30/2008,525097
12/31/2008,514538
1/31/2009,506328
2/28/2009,500763
3/31/2009,491938
4/30/2009,483267
5/31/2009,474824
6/30/2009,469434
7/31/2009,462912
8/31/2009,458849
9/30/2009,456039
10/31/2009,460096
11/30/2009,466161
12/31/2009,469686
1/31/2010,470074
2/28/2010,469910
3/31/2010,474149
4/30/2010,480856
5/31/2010,489212
6/30/2010,492229
7/31/2010,491371
8/31/2010,489041
9/30/2010,483776
10/31/2010,475294
11/30/2010,466420
12/31/2010,461352
1/31/2011,461197
2/28/2011,458440
3/31/2011,453766
4/30/2011,445100
5/31/2011,436193
6/30/2011,430948
7/31/2011,427719
8/31/2011,421752
9/30/2011,414877
10/31/2011,407286
11/30/2011,403633
12/31/2011,401241
1/31/2012,400603
2/29/2012,401012
3/31/2012,401507
4/30/2012,402750
5/31/2012,405038
6/30/2012,404315
7/31/2012,403976
8/31/2012,404941
9/30/2012,409242
10/31/2012,415233
11/30/2012,419720
12/31/2012,424814
1/31/2013,433841
2/28/2013,442459
3/31/2013,451592
4/30/2013,456497
5/31/2013,462651
6/30/2013,469695
7/31/2013,479725
8/31/2013,491635
9/30/2013,503234
10/31/2013,510158
11/30/2013,517821
12/31/2013,522020
1/31/2014,529244
2/28/2014,534202
3/31/2014,540234
4/30/2014,542942
5/31/2014,544341
6/30/2014,546699
7/31/2014,548167
8/31/2014,545873
9/30/2014,545289
10/31/2014,547142
11/30/2014,550110
12/31/2014,553367
1/31/2015,551914
2/28/2015,553025
3/31/2015,554476
4/30/2015,561145
5/31/2015,568614
6/30/2015,572117
7/31/2015,570192
8/31/2015,568578
9/30/2015,568644
10/31/2015,573626
11/30/2015,576288
12/31/2015,577915
1/31/2016,580509
2/29/2016,583495
3/31/2016,586502
4/30/2016,586302
5/31/2016,585691
6/30/2016,585900
7/31/2016,584692
8/31/2016,586221
9/30/2016,588556
10/31/2016,593751
11/30/2016,598952
12/31/2016,600861
1/31/2017,599480
2/28/2017,595483
3/31/2017,594713
4/30/2017,597800
5/31/2017,604047
6/30/2017,607844
7/31/2017,608627
8/31/2017,607572
9/30/2017,608943
10/31/2017,612757
11/30/2017,614454
12/31/2017,617631
1/31/2018,619323
2/28/2018,623820
3/31/2018,627930
4/30/2018,631330
5/31/2018,633777
6/30/2018,634662
7/31/2018,636405
8/31/2018,639104
9/30/2018,641061
10/31/2018,641928
11/30/2018,643112
12/31/2018,646157
1/31/2019,650040
2/28/2019,651215
3/31/2019,648197
4/30/2019,646362
5/31/2019,644812
6/30/2019,646450
7/31/2019,645140
8/31/2019,645404
9/30/2019,644361
10/31/2019,647839
11/30/2019,650023
12/31/2019,654350
1/31/2020,656250
2/29/2020,659145
3/31/2020,660819
4/30/2020,666906
5/31/2020,671285
6/30/2020,672122
7/31/2020,669908
8/31/2020,674112
9/30/2020,682220
10/31/2020,693540
11/30/2020,701341
12/31/2020,710090
1/31/2021,718041
2/28/2021,726579
3/31/2021,737228
4/30/2021,747040
5/31/2021,765105
6/30/2021,786322
7/31/2021,813737
8/31/2021,835630
9/30/2021,851758
10/31/2021,864777
11/30/2021,876574
12/31/2021,889633
1/31/2022,901313
2/28/2022,915317
3/31/2022,929687
4/30/2022,949837
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
