Dates,Orange_County
1/31/2000,276278
2/29/2000,278974
3/31/2000,280738
4/30/2000,284413
5/31/2000,287489
6/30/2000,290761
7/31/2000,294071
8/31/2000,297265
9/30/2000,300478
10/31/2000,304090
11/30/2000,307152
12/31/2000,310694
1/31/2001,313393
2/28/2001,316940
3/31/2001,319907
4/30/2001,323763
5/31/2001,327341
6/30/2001,330217
7/31/2001,333113
8/31/2001,335859
9/30/2001,339657
10/31/2001,343014
11/30/2001,345789
12/31/2001,348511
1/31/2002,350998
2/28/2002,354072
3/31/2002,357276
4/30/2002,361355
5/31/2002,366260
6/30/2002,371917
7/31/2002,378608
8/31/2002,385350
9/30/2002,391280
10/31/2002,396709
11/30/2002,401929
12/31/2002,407602
1/31/2003,412711
2/28/2003,417907
3/31/2003,422855
4/30/2003,429194
5/31/2003,436568
6/30/2003,442739
7/31/2003,449021
8/31/2003,455916
9/30/2003,464829
10/31/2003,473878
11/30/2003,482583
12/31/2003,487430
1/31/2004,496049
2/29/2004,507016
3/31/2004,
4/30/2004,538180
5/31/2004,554726
6/30/2004,571523
7/31/2004,586219
8/31/2004,596295
9/30/2004,601062
10/31/2004,606584
11/30/2004,609396
12/31/2004,616462
1/31/2005,624204
2/28/2005,631258
3/31/2005,640741
4/30/2005,648951
5/31/2005,659681
6/30/2005,664965
7/31/2005,672676
8/31/2005,680675
9/30/2005,690191
10/31/2005,697265
11/30/2005,701320
12/31/2005,708899
1/31/2006,714653
2/28/2006,721785
3/31/2006,725411
4/30/2006,730771
5/31/2006,734133
6/30/2006,736690
7/31/2006,733833
8/31/2006,734432
9/30/2006,732597
10/31/2006,734091
11/30/2006,730453
12/31/2006,726248
1/31/2007,726125
2/28/2007,726403
3/31/2007,726660
4/30/2007,720982
5/31/2007,714956
6/30/2007,710225
7/31/2007,701551
8/31/2007,691327
9/30/2007,677198
10/31/2007,667763
11/30/2007,662602
12/31/2007,653116
1/31/2008,640733
2/29/2008,622135
3/31/2008,610673
4/30/2008,596266
5/31/2008,584758
6/30/2008,573000
7/31/2008,566234
8/31/2008,560430
9/30/2008,557666
10/31/2008,551027
11/30/2008,541955
12/31/2008,531567
1/31/2009,523370
2/28/2009,521341
3/31/2009,516730
4/30/2009,514840
5/31/2009,512132
6/30/2009,510189
7/31/2009,508607
8/31/2009,506299
9/30/2009,507509
10/31/2009,510310
11/30/2009,516920
12/31/2009,522091
1/31/2010,523313
2/28/2010,522586
3/31/2010,521087
4/30/2010,526007
5/31/2010,528013
6/30/2010,529149
7/31/2010,524483
8/31/2010,520785
9/30/2010,516629
10/31/2010,512525
11/30/2010,507870
12/31/2010,504888
1/31/2011,503572
2/28/2011,503144
3/31/2011,500931
4/30/2011,497215
5/31/2011,491076
6/30/2011,488297
7/31/2011,487580
8/31/2011,486139
9/30/2011,481738
10/31/2011,478614
11/30/2011,478724
12/31/2011,480591
1/31/2012,478752
2/29/2012,476523
3/31/2012,474952
4/30/2012,475073
5/31/2012,476544
6/30/2012,477620
7/31/2012,481786
8/31/2012,486236
9/30/2012,491750
10/31/2012,497043
11/30/2012,503104
12/31/2012,509416
1/31/2013,519608
2/28/2013,531924
3/31/2013,544949
4/30/2013,556079
5/31/2013,566212
6/30/2013,576213
7/31/2013,581500
8/31/2013,584824
9/30/2013,588779
10/31/2013,594347
11/30/2013,603004
12/31/2013,612008
1/31/2014,618301
2/28/2014,621917
3/31/2014,618947
4/30/2014,617538
5/31/2014,613766
6/30/2014,612583
7/31/2014,612051
8/31/2014,610370
9/30/2014,610915
10/31/2014,611129
11/30/2014,614941
12/31/2014,618856
1/31/2015,622182
2/28/2015,626234
3/31/2015,629071
4/30/2015,632428
5/31/2015,633423
6/30/2015,634749
7/31/2015,637658
8/31/2015,640251
9/30/2015,643277
10/31/2015,645982
11/30/2015,648408
12/31/2015,654586
1/31/2016,659034
2/29/2016,663804
3/31/2016,665727
4/30/2016,665513
5/31/2016,667907
6/30/2016,668039
7/31/2016,671494
8/31/2016,672645
9/30/2016,672384
10/31/2016,672562
11/30/2016,676895
12/31/2016,680756
1/31/2017,687081
2/28/2017,689273
3/31/2017,693928
4/30/2017,695332
5/31/2017,697918
6/30/2017,701448
7/31/2017,702831
8/31/2017,703657
9/30/2017,705559
10/31/2017,709826
11/30/2017,715103
12/31/2017,720399
1/31/2018,724693
2/28/2018,728585
3/31/2018,732048
4/30/2018,736400
5/31/2018,740112
6/30/2018,743685
7/31/2018,744179
8/31/2018,745103
9/30/2018,744437
10/31/2018,747319
11/30/2018,748054
12/31/2018,746940
1/31/2019,744485
2/28/2019,742275
3/31/2019,741830
4/30/2019,741289
5/31/2019,742289
6/30/2019,741376
7/31/2019,742210
8/31/2019,744054
9/30/2019,749475
10/31/2019,752867
11/30/2019,752888
12/31/2019,751257
1/31/2020,753578
2/29/2020,758567
3/31/2020,765784
4/30/2020,769897
5/31/2020,768484
6/30/2020,765101
7/31/2020,765282
8/31/2020,775202
9/30/2020,785373
10/31/2020,795857
11/30/2020,802883
12/31/2020,810944
1/31/2021,818595
2/28/2021,827019
3/31/2021,836676
4/30/2021,848927
5/31/2021,868242
6/30/2021,892185
7/31/2021,915633
8/31/2021,932870
9/30/2021,943923
10/31/2021,953842
11/30/2021,966798
12/31/2021,984769
1/31/2022,1008652
2/28/2022,1030499
3/31/2022,1055189
4/30/2022,1078540
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
