Dates,Riverside County
1/31/2000,163228
2/29/2000,163704
3/31/2000,164248
4/30/2000,165467
5/31/2000,166980
6/30/2000,168774
7/31/2000,170515
8/31/2000,172563
9/30/2000,174646
10/31/2000,176755
11/30/2000,178367
12/31/2000,179757
1/31/2001,181247
2/28/2001,182447
3/31/2001,184100
4/30/2001,185789
5/31/2001,187834
6/30/2001,189705
7/31/2001,191894
8/31/2001,194480
9/30/2001,196811
10/31/2001,198630
11/30/2001,200034
12/31/2001,201496
1/31/2002,202784
2/28/2002,203973
3/31/2002,205298
4/30/2002,206903
5/31/2002,208956
6/30/2002,211834
7/31/2002,214948
8/31/2002,218763
9/30/2002,222279
10/31/2002,225247
11/30/2002,227947
12/31/2002,230304
1/31/2003,233195
2/28/2003,235476
3/31/2003,238052
4/30/2003,241178
5/31/2003,245157
6/30/2003,249564
7/31/2003,253963
8/31/2003,258755
9/30/2003,263145
10/31/2003,267659
11/30/2003,271280
12/31/2003,274622
1/31/2004,277765
2/29/2004,281806
3/31/2004,286888
4/30/2004,293131
5/31/2004,299476
6/30/2004,308544
7/31/2004,318566
8/31/2004,330127
9/30/2004,338320
10/31/2004,345750
11/30/2004,350106
12/31/2004,357046
1/31/2005,360742
2/28/2005,368189
3/31/2005,373441
4/30/2005,382224
5/31/2005,388476
6/30/2005,395223
7/31/2005,401259
8/31/2005,407851
9/30/2005,413635
10/31/2005,419470
11/30/2005,423920
12/31/2005,427410
1/31/2006,430612
2/28/2006,433440
3/31/2006,436834
4/30/2006,439300
5/31/2006,441652
6/30/2006,444230
7/31/2006,445881
8/31/2006,447570
9/30/2006,449189
10/31/2006,450044
11/30/2006,450679
12/31/2006,451307
1/31/2007,450778
2/28/2007,450685
3/31/2007,447823
4/30/2007,443762
5/31/2007,437611
6/30/2007,431146
7/31/2007,426647
8/31/2007,419679
9/30/2007,411932
10/31/2007,403815
11/30/2007,397069
12/31/2007,390698
1/31/2008,383574
2/29/2008,374654
3/31/2008,363169
4/30/2008,350677
5/31/2008,337993
6/30/2008,325720
7/31/2008,311396
8/31/2008,297512
9/30/2008,285190
10/31/2008,277359
11/30/2008,269593
12/31/2008,260698
1/31/2009,251173
2/28/2009,246552
3/31/2009,243122
4/30/2009,239611
5/31/2009,234059
6/30/2009,231229
7/31/2009,228266
8/31/2009,224507
9/30/2009,220973
10/31/2009,219318
11/30/2009,220086
12/31/2009,222281
1/31/2010,225283
2/28/2010,226860
3/31/2010,227473
4/30/2010,228118
5/31/2010,229666
6/30/2010,229413
7/31/2010,228195
8/31/2010,224907
9/30/2010,224005
10/31/2010,221685
11/30/2010,223058
12/31/2010,223442
1/31/2011,224406
2/28/2011,223050
3/31/2011,222310
4/30/2011,221497
5/31/2011,221381
6/30/2011,219301
7/31/2011,217820
8/31/2011,217098
9/30/2011,216347
10/31/2011,215472
11/30/2011,214051
12/31/2011,213773
1/31/2012,214065
2/29/2012,214125
3/31/2012,214247
4/30/2012,214137
5/31/2012,214317
6/30/2012,215637
7/31/2012,217413
8/31/2012,221333
9/30/2012,225409
10/31/2012,228135
11/30/2012,229935
12/31/2012,231483
1/31/2013,235669
2/28/2013,239323
3/31/2013,244148
4/30/2013,248880
5/31/2013,254501
6/30/2013,260203
7/31/2013,264829
8/31/2013,267820
9/30/2013,272783
10/31/2013,279675
11/30/2013,288005
12/31/2013,293612
1/31/2014,298243
2/28/2014,302461
3/31/2014,305110
4/30/2014,306488
5/31/2014,307940
6/30/2014,309753
7/31/2014,309547
8/31/2014,309152
9/30/2014,308485
10/31/2014,309760
11/30/2014,310426
12/31/2014,311055
1/31/2015,312514
2/28/2015,313648
3/31/2015,314952
4/30/2015,316546
5/31/2015,317914
6/30/2015,319504
7/31/2015,319596
8/31/2015,321153
9/30/2015,322309
10/31/2015,323859
11/30/2015,324208
12/31/2015,325715
1/31/2016,327297
2/29/2016,329102
3/31/2016,330928
4/30/2016,332630
5/31/2016,334539
6/30/2016,335718
7/31/2016,337384
8/31/2016,339398
9/30/2016,340100
10/31/2016,341001
11/30/2016,341733
12/31/2016,342920
1/31/2017,344038
2/28/2017,344547
3/31/2017,346803
4/30/2017,349250
5/31/2017,352167
6/30/2017,354827
7/31/2017,356313
8/31/2017,358649
9/30/2017,360919
10/31/2017,363652
11/30/2017,364634
12/31/2017,365528
1/31/2018,367118
2/28/2018,371169
3/31/2018,374778
4/30/2018,378229
5/31/2018,380965
6/30/2018,383489
7/31/2018,385602
8/31/2018,386810
9/30/2018,387512
10/31/2018,387339
11/30/2018,388185
12/31/2018,388560
1/31/2019,390728
2/28/2019,392044
3/31/2019,394098
4/30/2019,395078
5/31/2019,395251
6/30/2019,395294
7/31/2019,396065
8/31/2019,396834
9/30/2019,396863
10/31/2019,398307
11/30/2019,398813
12/31/2019,401720
1/31/2020,401785
2/29/2020,402887
3/31/2020,403374
4/30/2020,405417
5/31/2020,407842
6/30/2020,409375
7/31/2020,412074
8/31/2020,416449
9/30/2020,422368
10/31/2020,427851
11/30/2020,434104
12/31/2020,440421
1/31/2021,446402
2/28/2021,453131
3/31/2021,460814
4/30/2021,471304
5/31/2021,483276
6/30/2021,498123
7/31/2021,515312
8/31/2021,531403
9/30/2021,543646
10/31/2021,551657
11/30/2021,556094
12/31/2021,560528
1/31/2022,571840
2/28/2022,585119
3/31/2022,601726
4/30/2022,611892
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
