County,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bakersfield,108063,112765,122224,141120,173789,237213,286290,282611,218303,156840,145961,134457,137361,163062,186619,193906,199360,206729,218186,229193,243727,288284
Chico,NaN,153156,173907,207018,248175,295269,319895,307195,276953,237752,220807,202738,194323,218011,234972,241396,256615,272504,294854,331810,338486,379253
Clearlake,NaN,NaN,NaN,NaN,NaN,NaN,NaN,203205,188707,160452,154381,145885,146307,164750,180796,185499,199609,225254,247800,247997,256150,308043
Crescent City,NaN,NaN,NaN,NaN,NaN,NaN,NaN,239205,198130,169300,165479,156552,162995,187858,212004,228074,238529,251323,260660,268721,273459,301920
El Centro,NaN,92248,98998,105717,122225,157724,191988,185117,155485,128615,123614,117234,127789,134212,154798,177106,186578,195410,208262,217426,230574,281274
Eureka-Arcata-Fortuna,NaN,138148,152238,184260,222025,279163,311827,303398,291373,263289,253737,245627,227106,245722,262659,269716,287146,314048,325095,329406,337784,395775
Fresno,120179,127573,144412,175341,218578,278592,320515,305574,244950,187465,177643,156733,156508,179408,201698,209067,221004,237425,256839,268570,283416,336019
Hanford-Corcoran,NaN,100298,103592,113674,137748,180143,214379,213252,187823,161899,161379,140569,140726,154721,174707,184369,196959,211629,221267,231841,249450,287348
Los Angeles-Long Beach-Anaheim,259570,290251,330302,392999,496431,592141,658280,639894,533405,460691,462611,436589,431391,506131,550926,574730,608516,642680,684416,691440,725962,836292
Madera,NaN,NaN,NaN,131112,162137,207584,248901,239957,191057,160929,156197,152395,154056,176622,207273,215734,228416,248592,270798,280323,300454,347466
Merced,NaN,149480,173149,200269,240526,313174,363909,317774,199782,118784,123074,121355,121041,149744,186582,198846,218471,241690,264870,278369,292014,353794
Modesto,152640,182817,211631,244694,288307,364161,416239,369866,240239,163972,155926,146457,145868,182866,227126,241484,263963,286122,311325,325142,345580,407356
Napa,268021,322941,363777,421657,491397,577888,627330,599614,541091,438749,400232,376566,380412,468452,537714,573672,621444,652176,686715,703928,713943,833084
Oxnard-Thousand Oaks-Ventura,276378,308938,346950,415639,513131,611679,662173,615059,503393,435282,436120,413426,392341,456346,508362,522965,551361,580166,608234,616641,636907,743636
Red Bluff,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,163760,189531,209185,214435,221594,232261,241686,258714,249667,288015
Redding,80307,84944,98172,119994,141912,172877,197172,187991,165232,142634,135300,125936,123323,144894,183737,210327,235334,250393,263110,277953,290071,342872
Riverside-San Bernardino-Ontario,153114,170237,191439,225768,284794,363113,414246,403555,304571,216264,209075,202177,202098,240956,285300,298234,315770,335379,361516,375074,395261,478774
Sacramento--Roseville--Arden-Arcade,208226,245014,280357,326476,381137,465485,498845,455629,374950,314705,292571,268450,261254,314201,355569,367674,393119,420800,450104,461995,482546,576970
Salinas,290287,356561,397141,440896,524889,661124,728931,672206,506670,358137,348571,324238,321683,377476,451148,470082,509481,542165,572962,598945,625462,732814
San Diego-Carlsbad,244528,284721,325441,389889,479648,561952,568059,528831,447671,381732,387253,365523,364045,425196,464681,482347,514636,549506,587827,596221,634679,768491
San Francisco-Oakland-Hayward,463293,546474,575298,622367,707893,832354,881777,860041,768461,652271,639030,590681,602243,719826,817438,901453,976759,1029793,1135702,1134763,1159523,1293287
San Jose-Sunnyvale-Santa Clara,NaN,NaN,NaN,530866,604727,732907,791249,768216,652152,543925,529587,500258,511078,601980,666472,723763,789124,844429,966680,935295,966729,1110664
San Luis Obispo-Paso Robles-Arroyo Grande,257694,310737,361487,423529,495131,588526,625093,592351,534947,464910,442612,409160,407305,460278,504493,529678,563917,591143,624421,632456,655769,748399
Santa Cruz-Watsonville,383665,477044,507131,548146,615647,736433,784125,753769,676899,572755,561851,519957,514977,594922,667601,709884,769990,811309,877553,880251,906621,1080762
Santa Maria-Santa Barbara,315689,367076,429095,511889,603742,725304,771916,702114,578176,475025,478640,430179,407763,478444,543968,566378,588453,605779,634884,647849,676478,801035
Santa Rosa,302642,369152,402950,445839,516190,612683,643082,596409,503608,413837,404084,370702,358706,429752,496079,532677,575152,616842,672124,652687,668934,750865
Sonora,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,348279
Stockton-Lodi,172589,207364,237805,266678,315107,406169,453006,404700,258758,182576,183498,170217,168929,209179,260016,274458,299599,328528,360790,374083,392713,484136
Susanville,NaN,NaN,NaN,NaN,NaN,NaN,NaN,172084,141151,120217,115362,111616,118210,138961,156102,160699,165386,170042,174211,175446,178882,206025
Truckee-Grass Valley,NaN,249421,279219,312412,354912,432957,476345,456807,404401,354245,350778,314580,296849,335524,388136,387095,410804,442479,467747,477432,494233,617609
Ukiah,NaN,NaN,NaN,253045,306676,360927,386505,413355,360152,312781,302950,291991,289008,319563,349119,361400,378261,396465,417392,411824,418708,479612
Vallejo-Fairfield,211275,255832,292663,338238,395846,478906,524615,486733,353891,248850,235622,218592,209032,262166,324097,348476,376518,407176,442348,453856,467737,546519
Visalia-Porterville,110406,109850,115959,128058,157002,207762,252122,245958,202744,160483,150598,133541,130547,154902,170015,179161,191608,201585,217833,226320,241716,284489
Yuba City,NaN,NaN,NaN,NaN,NaN,244470,271876,248279,212029,182149,177432,169885,170850,191918,210805,214773,231833,257860,283190,298468,318068,374976
(blank),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,268894,279648,292647,299192,303316,347591