Dates,San Mateo County
1/31/2000,491732
2/29/2000,494876
3/31/2000,499085
4/30/2000,507271
5/31/2000,518440
6/30/2000,531136
7/31/2000,542944
8/31/2000,552764
9/30/2000,561841
10/31/2000,571775
11/30/2000,582582
12/31/2000,594575
1/31/2001,606659
2/28/2001,617647
3/31/2001,626679
4/30/2001,634246
5/31/2001,637994
6/30/2001,638308
7/31/2001,637794
8/31/2001,638793
9/30/2001,639045
10/31/2001,637667
11/30/2001,633162
12/31/2001,628703
1/31/2002,624660
2/28/2002,623672
3/31/2002,624606
4/30/2002,629237
5/31/2002,635117
6/30/2002,643443
7/31/2002,651667
8/31/2002,659883
9/30/2002,666436
10/31/2002,668455
11/30/2002,671756
12/31/2002,674314
1/31/2003,679624
2/28/2003,681911
3/31/2003,683906
4/30/2003,686363
5/31/2003,686759
6/30/2003,684815
7/31/2003,682309
8/31/2003,684623
9/30/2003,689616
10/31/2003,695938
11/30/2003,699585
12/31/2003,704962
1/31/2004,714955
2/29/2004,725341
3/31/2004,739351
4/30/2004,749085
5/31/2004,759271
6/30/2004,766365
7/31/2004,776676
8/31/2004,786681
9/30/2004,796418
10/31/2004,804441
11/30/2004,814556
12/31/2004,827609
1/31/2005,842742
2/28/2005,852369
3/31/2005,861697
4/30/2005,869474
5/31/2005,886445
6/30/2005,900140
7/31/2005,910525
8/31/2005,917343
9/30/2005,925056
10/31/2005,931975
11/30/2005,941449
12/31/2005,943713
1/31/2006,946612
2/28/2006,948586
3/31/2006,957400
4/30/2006,963364
5/31/2006,960717
6/30/2006,958320
7/31/2006,956691
8/31/2006,958258
9/30/2006,956279
10/31/2006,953100
11/30/2006,951434
12/31/2006,951760
1/31/2007,951441
2/28/2007,956069
3/31/2007,957075
4/30/2007,959774
5/31/2007,960490
6/30/2007,961375
7/31/2007,960393
8/31/2007,956679
9/30/2007,954322
10/31/2007,956116
11/30/2007,950422
12/31/2007,940325
1/31/2008,921915
2/29/2008,913231
3/31/2008,900607
4/30/2008,897388
5/31/2008,884247
6/30/2008,875048
7/31/2008,861590
8/31/2008,848062
9/30/2008,836548
10/31/2008,824747
11/30/2008,811068
12/31/2008,797088
1/31/2009,787226
2/28/2009,781690
3/31/2009,780697
4/30/2009,766628
5/31/2009,760087
6/30/2009,751464
7/31/2009,751990
8/31/2009,746257
9/30/2009,738028
10/31/2009,735462
11/30/2009,741971
12/31/2009,756992
1/31/2010,764805
2/28/2010,765437
3/31/2010,761218
4/30/2010,763101
5/31/2010,763898
6/30/2010,764139
7/31/2010,757437
8/31/2010,757857
9/30/2010,745759
10/31/2010,736182
11/30/2010,721797
12/31/2010,717325
1/31/2011,711138
2/28/2011,705154
3/31/2011,702559
4/30/2011,705680
5/31/2011,707539
6/30/2011,706628
7/31/2011,702281
8/31/2011,688521
9/30/2011,679073
10/31/2011,672960
11/30/2011,675669
12/31/2011,676995
1/31/2012,674565
2/29/2012,676628
3/31/2012,679430
4/30/2012,681805
5/31/2012,688622
6/30/2012,700483
7/31/2012,713740
8/31/2012,725081
9/30/2012,736763
10/31/2012,746183
11/30/2012,755588
12/31/2012,756757
1/31/2013,772267
2/28/2013,793282
3/31/2013,817451
4/30/2013,832135
5/31/2013,845079
6/30/2013,851257
7/31/2013,863790
8/31/2013,867148
9/30/2013,879663
10/31/2013,892893
11/30/2013,911057
12/31/2013,929520
1/31/2014,940735
2/28/2014,947379
3/31/2014,947069
4/30/2014,953628
5/31/2014,955875
6/30/2014,963288
7/31/2014,965728
8/31/2014,971525
9/30/2014,976954
10/31/2014,982123
11/30/2014,991173
12/31/2014,1004176
1/31/2015,1011965
2/28/2015,1024047
3/31/2015,1038324
4/30/2015,1051033
5/31/2015,1066258
6/30/2015,1076847
7/31/2015,1090557
8/31/2015,1106052
9/30/2015,1120685
10/31/2015,1136969
11/30/2015,1152091
12/31/2015,1163888
1/31/2016,1183461
2/29/2016,1194147
3/31/2016,1196494
4/30/2016,1199255
5/31/2016,1195218
6/30/2016,1199788
7/31/2016,1186879
8/31/2016,1181604
9/30/2016,1180309
10/31/2016,1190206
11/30/2016,1197431
12/31/2016,1215069
1/31/2017,1224130
2/28/2017,1234500
3/31/2017,1231152
4/30/2017,1235935
5/31/2017,1242678
6/30/2017,1248267
7/31/2017,1257158
8/31/2017,1266163
9/30/2017,1285440
10/31/2017,1306891
11/30/2017,1336569
12/31/2017,1360502
1/31/2018,1383112
2/28/2018,1393785
3/31/2018,1413832
4/30/2018,1432046
5/31/2018,1451364
6/30/2018,1464267
7/31/2018,1476822
8/31/2018,1496959
9/30/2018,1509573
10/31/2018,1507403
11/30/2018,1489545
12/31/2018,1463018
1/31/2019,1443630
2/28/2019,1433828
3/31/2019,1428536
4/30/2019,1428708
5/31/2019,1428696
6/30/2019,1425610
7/31/2019,1424633
8/31/2019,1420494
9/30/2019,1424094
10/31/2019,1419143
11/30/2019,1419293
12/31/2019,1418792
1/31/2020,1429512
2/29/2020,1435573
3/31/2020,1458942
4/30/2020,1459511
5/31/2020,1441231
6/30/2020,1420115
7/31/2020,1419568
8/31/2020,1443228
9/30/2020,1449486
10/31/2020,1459170
11/30/2020,1460451
12/31/2020,1469143
1/31/2021,1469907
2/28/2021,1477433
3/31/2021,1476060
4/30/2021,1492997
5/31/2021,1523751
6/30/2021,1572332
7/31/2021,1605253
8/31/2021,1630288
9/30/2021,1646713
10/31/2021,1663271
11/30/2021,1677376
12/31/2021,1692032
1/31/2022,1711260
2/28/2022,1731467
3/31/2022,1754405
4/30/2022,1771638
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
