Dates,Tulare County
1/31/2000,109799
2/29/2000,109664
3/31/2000,109869
4/30/2000,110264
5/31/2000,110723
6/30/2000,111083
7/31/2000,111323
8/31/2000,111707
9/30/2000,112042
10/31/2000,110805
11/30/2000,109475
12/31/2000,108122
1/31/2001,108176
2/28/2001,108306
3/31/2001,108460
4/30/2001,108691
5/31/2001,109028
6/30/2001,109392
7/31/2001,109893
8/31/2001,110316
9/30/2001,110716
10/31/2001,111178
11/30/2001,111714
12/31/2001,112326
1/31/2002,112746
2/28/2002,113184
3/31/2002,113665
4/30/2002,114269
5/31/2002,114810
6/30/2002,115324
7/31/2002,115950
8/31/2002,116736
9/30/2002,117572
10/31/2002,118387
11/30/2002,119081
12/31/2002,119783
1/31/2003,120364
2/28/2003,121082
3/31/2003,121935
4/30/2003,123139
5/31/2003,124347
6/30/2003,125942
7/31/2003,127489
8/31/2003,129539
9/30/2003,132049
10/31/2003,134924
11/30/2003,137164
12/31/2003,138725
1/31/2004,140253
2/29/2004,141970
3/31/2004,144302
4/30/2004,146506
5/31/2004,149706
6/30/2004,153126
7/31/2004,157235
8/31/2004,161457
9/30/2004,166661
10/31/2004,170965
11/30/2004,174364
12/31/2004,177482
1/31/2005,181089
2/28/2005,186108
3/31/2005,189902
4/30/2005,194353
5/31/2005,198676
6/30/2005,203883
7/31/2005,210374
8/31/2005,216546
9/30/2005,221497
10/31/2005,225831
11/30/2005,230053
12/31/2005,234832
1/31/2006,238238
2/28/2006,239870
3/31/2006,242198
4/30/2006,247061
5/31/2006,252339
6/30/2006,255761
7/31/2006,256889
8/31/2006,258257
9/30/2006,259443
10/31/2006,258894
11/30/2006,258605
12/31/2006,257905
1/31/2007,257636
2/28/2007,257109
3/31/2007,255663
4/30/2007,254394
5/31/2007,250945
6/30/2007,249274
7/31/2007,245411
8/31/2007,242044
9/30/2007,237919
10/31/2007,235572
11/30/2007,233963
12/31/2007,231570
1/31/2008,227426
2/29/2008,222174
3/31/2008,216855
4/30/2008,212908
5/31/2008,209820
6/30/2008,205744
7/31/2008,200890
8/31/2008,195818
9/30/2008,191629
10/31/2008,187806
11/30/2008,183308
12/31/2008,178544
1/31/2009,175054
2/28/2009,172392
3/31/2009,170656
4/30/2009,166932
5/31/2009,162397
6/30/2009,158219
7/31/2009,155024
8/31/2009,153259
9/30/2009,151971
10/31/2009,151929
11/30/2009,153159
12/31/2009,154801
1/31/2010,155801
2/28/2010,154544
3/31/2010,153718
4/30/2010,153133
5/31/2010,153565
6/30/2010,152592
7/31/2010,151287
8/31/2010,149933
9/30/2010,148719
10/31/2010,147136
11/30/2010,144756
12/31/2010,141992
1/31/2011,139614
2/28/2011,138368
3/31/2011,137118
4/30/2011,135763
5/31/2011,134341
6/30/2011,133966
7/31/2011,133491
8/31/2011,132428
9/30/2011,130956
10/31/2011,129436
11/30/2011,128676
12/31/2011,128329
1/31/2012,128459
2/29/2012,128750
3/31/2012,128615
4/30/2012,128361
5/31/2012,128235
6/30/2012,128530
7/31/2012,129476
8/31/2012,130222
9/30/2012,131094
10/31/2012,132412
11/30/2012,134636
12/31/2012,137771
1/31/2013,140356
2/28/2013,142968
3/31/2013,145960
4/30/2013,149520
5/31/2013,152795
6/30/2013,154620
7/31/2013,157078
8/31/2013,158890
9/30/2013,161580
10/31/2013,163266
11/30/2013,165572
12/31/2013,166213
1/31/2014,167100
2/28/2014,167735
3/31/2014,168809
4/30/2014,169139
5/31/2014,169433
6/30/2014,170480
7/31/2014,171679
8/31/2014,171169
9/30/2014,170958
10/31/2014,170293
11/30/2014,170993
12/31/2014,172391
1/31/2015,174459
2/28/2015,176512
3/31/2015,177847
4/30/2015,178609
5/31/2015,179570
6/30/2015,179519
7/31/2015,178416
8/31/2015,177649
9/30/2015,177885
10/31/2015,181093
11/30/2015,183331
12/31/2015,185042
1/31/2016,185915
2/29/2016,187160
3/31/2016,188003
4/30/2016,188539
5/31/2016,189322
6/30/2016,191172
7/31/2016,193487
8/31/2016,194343
9/30/2016,194084
10/31/2016,194222
11/30/2016,195707
12/31/2016,197345
1/31/2017,197684
2/28/2017,198317
3/31/2017,199047
4/30/2017,199974
5/31/2017,200663
6/30/2017,201446
7/31/2017,201589
8/31/2017,202315
9/30/2017,202642
10/31/2017,204185
11/30/2017,204806
12/31/2017,206355
1/31/2018,208858
2/28/2018,211814
3/31/2018,214546
4/30/2018,215648
5/31/2018,216955
6/30/2018,218302
7/31/2018,218680
8/31/2018,219766
9/30/2018,220594
10/31/2018,221970
11/30/2018,222931
12/31/2018,223936
1/31/2019,224988
2/28/2019,224712
3/31/2019,224330
4/30/2019,224986
5/31/2019,226255
6/30/2019,227024
7/31/2019,226107
8/31/2019,225797
9/30/2019,226329
10/31/2019,228373
11/30/2019,228385
12/31/2019,228550
1/31/2020,228263
2/29/2020,230819
3/31/2020,232395
4/30/2020,234983
5/31/2020,236838
6/30/2020,239361
7/31/2020,242161
8/31/2020,245336
9/30/2020,248369
10/31/2020,250824
11/30/2020,254073
12/31/2020,257172
1/31/2021,260200
2/28/2021,262312
3/31/2021,265490
4/30/2021,268950
5/31/2021,273036
6/30/2021,278961
7/31/2021,286581
8/31/2021,294059
9/30/2021,299648
10/31/2021,304105
11/30/2021,308028
12/31/2021,312503
1/31/2022,316885
2/28/2022,320511
3/31/2022,324045
4/30/2022,329023
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
